selection,limit,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,12,100,50,rastrigin,3,0.002169,0.009763,0.007689,0.025320,0.617600
roulette wheel,8,100,50,rastrigin,3,0.005478,0.044680,0.046341,0.154831,0.664710
roulette wheel,6,100,50,rastrigin,3,0.022596,0.260046,0.389114,0.300245,0.691945
roulette wheel,14,100,50,rastrigin,3,0.000322,0.004333,0.004625,0.013561,0.670810
roulette wheel,4,100,50,rastrigin,3,0.058426,0.389291,0.450233,0.407169,0.755550
roulette wheel,10,100,50,rastrigin,3,0.003691,0.035668,0.042062,0.077760,0.743050
roulette wheel,2,100,50,rastrigin,3,0.044855,0.860780,1.235872,0.673756,0.884065
roulette wheel,18,100,50,rastrigin,3,0.000002,0.000298,0.000244,0.001570,0.630270
roulette wheel,16,100,50,rastrigin,3,0.000034,0.001133,0.000749,0.004247,0.681885
roulette wheel,24,100,50,rastrigin,3,0.000000,0.000020,0.000025,0.000071,0.649430
roulette wheel,26,100,50,rastrigin,3,0.000000,0.000026,0.000027,0.000062,0.603035
roulette wheel,34,100,50,rastrigin,3,0.000000,0.000007,0.000009,0.000020,0.722780
roulette wheel,20,100,50,rastrigin,3,0.000004,0.000082,0.000083,0.000296,0.866530
roulette wheel,28,100,50,rastrigin,3,0.000002,0.000016,0.000021,0.000086,0.613085
roulette wheel,30,100,50,rastrigin,3,0.000000,0.000009,0.000010,0.000417,0.630850
roulette wheel,32,100,50,rastrigin,3,0.000000,0.000011,0.000012,0.000031,0.597030
roulette wheel,22,100,50,rastrigin,3,0.000004,0.000067,0.000074,0.000128,0.613565
tournament 3,4,100,50,rastrigin,3,0.110073,0.524212,0.602975,0.414992,0.588355
tournament 3,6,100,50,rastrigin,3,0.005283,0.324611,0.380475,0.337588,0.560115
tournament 3,2,100,50,rastrigin,3,0.143440,0.995294,0.984780,0.799764,0.621205
roulette wheel,36,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000043,0.783165
roulette wheel,40,100,50,rastrigin,3,0.000000,0.000008,0.000008,0.000018,0.653605
roulette wheel,38,100,50,rastrigin,3,0.000000,0.000007,0.000008,0.000038,1.114610
tournament 3,12,100,50,rastrigin,3,0.001169,0.012768,0.015113,0.029829,0.524320
tournament 3,10,100,50,rastrigin,3,0.002165,0.029223,0.026273,0.103847,0.553505
tournament 3,16,100,50,rastrigin,3,0.000015,0.000684,0.000613,0.010177,0.589475
tournament 3,14,100,50,rastrigin,3,0.000347,0.004517,0.003384,0.014749,0.607950
tournament 3,8,100,50,rastrigin,3,0.036934,0.102015,0.106572,0.079702,0.837380
tournament 3,18,100,50,rastrigin,3,0.000006,0.000304,0.000386,0.001117,0.548910
tournament 3,20,100,50,rastrigin,3,0.000004,0.000067,0.000074,0.000709,0.656620
tournament 3,22,100,50,rastrigin,3,0.000000,0.000037,0.000012,0.000127,0.592955
tournament 3,24,100,50,rastrigin,3,0.000000,0.000020,0.000019,0.000220,0.506905
tournament 5,12,100,50,rastrigin,3,0.000984,0.015963,0.018480,0.027558,0.630500
tournament 3,30,100,50,rastrigin,3,0.000000,0.000005,0.000006,0.000012,0.512025
tournament 3,28,100,50,rastrigin,3,0.000000,0.000012,0.000006,0.000053,0.570425
tournament 3,34,100,50,rastrigin,3,0.000000,0.000005,0.000008,0.000021,0.509265
tournament 3,36,100,50,rastrigin,3,0.000000,0.000004,0.000007,0.000009,0.549925
tournament 3,38,100,50,rastrigin,3,0.000000,0.000003,0.000003,0.000012,0.494950
tournament 5,14,100,50,rastrigin,3,0.000868,0.004037,0.005373,0.009946,0.659060
tournament 5,20,100,50,rastrigin,3,0.000008,0.000255,0.000301,0.000645,0.726750
tournament 5,24,100,50,rastrigin,3,0.000000,0.000023,0.000018,0.000433,0.571170
tournament 5,6,100,50,rastrigin,3,0.042356,0.371024,0.474699,0.273241,0.657355
tournament 3,26,100,50,rastrigin,3,0.000000,0.000015,0.000017,0.000096,0.492365
tournament 5,2,100,50,rastrigin,3,0.503696,1.028168,1.175534,0.440332,0.785150
tournament 5,8,100,50,rastrigin,3,0.005713,0.082236,0.098256,0.188079,0.596575
tournament 5,10,100,50,rastrigin,3,0.000923,0.060374,0.045560,0.100584,0.564275
tournament 3,32,100,50,rastrigin,3,0.000000,0.000011,0.000011,0.000028,0.569090
tournament 5,16,100,50,rastrigin,3,0.000059,0.001142,0.000904,0.003284,0.565220
tournament 5,18,100,50,rastrigin,3,0.000130,0.000729,0.000678,0.002831,0.579805
tournament 5,38,100,50,rastrigin,3,0.000000,0.000001,0.000002,0.000004,0.534405
tournament 5,22,100,50,rastrigin,3,0.000002,0.000062,0.000068,0.000204,0.547765
tournament 5,26,100,50,rastrigin,3,0.000000,0.000018,0.000023,0.000033,0.533935
tournament 5,28,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000010,0.553780
