selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,5,1,100,50,rastrigin,3,1.053747,2.354977,2.689926,1.421562,0.999500
roulette wheel,5,2,100,50,rastrigin,3,0.182030,2.479961,2.837320,1.275278,1.097035
roulette wheel,10,1,100,50,rastrigin,3,0.526234,3.198201,4.316618,2.169005,1.072235
roulette wheel,5,3,100,50,rastrigin,3,1.017195,2.547779,2.643867,1.088330,1.252220
roulette wheel,10,3,100,50,rastrigin,3,0.024227,2.316651,2.574947,1.694011,1.191255
roulette wheel,10,2,100,50,rastrigin,3,1.025751,2.846439,3.432358,1.309172,1.256590
roulette wheel,15,1,100,50,rastrigin,3,1.014965,2.920379,3.307138,1.702952,1.205105
roulette wheel,20,1,100,50,rastrigin,3,0.086344,2.889482,3.376981,2.018143,0.902410
roulette wheel,15,2,100,50,rastrigin,3,0.352982,2.937755,3.198912,1.801895,1.251535
roulette wheel,20,2,100,50,rastrigin,3,0.428078,2.880363,3.397429,1.837898,0.970405
roulette wheel,25,1,100,50,rastrigin,3,1.170059,3.507462,4.004174,2.096388,0.967545
roulette wheel,20,3,100,50,rastrigin,3,0.822485,3.157096,3.443799,1.900833,1.184775
roulette wheel,15,3,100,50,rastrigin,3,1.297558,3.171219,3.811022,1.411213,1.351450
roulette wheel,25,2,100,50,rastrigin,3,1.101244,4.184189,5.131695,2.131783,1.349390
roulette wheel,30,1,100,50,rastrigin,3,1.298256,3.351181,4.035725,1.952113,0.977855
roulette wheel,30,2,100,50,rastrigin,3,1.457840,2.974576,3.150035,1.422990,0.956480
roulette wheel,35,1,100,50,rastrigin,3,1.730042,4.053435,4.786848,1.489744,0.862840
roulette wheel,25,3,100,50,rastrigin,3,1.117748,3.156651,3.742471,2.010876,1.305930
roulette wheel,30,3,100,50,rastrigin,3,1.810963,4.001091,3.896529,2.340885,1.162890
roulette wheel,35,3,100,50,rastrigin,3,1.961933,4.333514,5.054536,1.712711,1.023440
roulette wheel,40,1,100,50,rastrigin,3,1.437443,4.146248,4.832558,3.031767,0.937745
roulette wheel,35,2,100,50,rastrigin,3,1.069187,3.524608,4.716022,2.518422,1.647645
roulette wheel,40,2,100,50,rastrigin,3,0.278904,3.914971,4.905552,2.776003,1.051615
roulette wheel,45,2,100,50,rastrigin,3,0.050091,3.561172,3.954173,2.421114,1.187320
roulette wheel,40,3,100,50,rastrigin,3,1.389942,4.022732,4.411900,2.272021,1.582640
roulette wheel,55,1,100,50,rastrigin,3,1.331997,3.918925,4.209591,1.913647,1.113720
roulette wheel,45,1,100,50,rastrigin,3,0.143379,3.284198,3.700205,2.589411,1.387740
roulette wheel,50,3,100,50,rastrigin,3,1.212086,4.299342,4.434240,2.441034,1.236965
roulette wheel,50,1,100,50,rastrigin,3,0.018665,5.039014,6.067713,2.543968,1.317990
roulette wheel,55,2,100,50,rastrigin,3,1.235355,3.522826,4.277457,2.375402,1.281705
roulette wheel,50,2,100,50,rastrigin,3,1.100391,4.141971,4.364178,2.020566,1.360350
roulette wheel,45,3,100,50,rastrigin,3,2.197304,4.422289,4.904004,2.460413,1.400945
roulette wheel,55,3,100,50,rastrigin,3,1.257103,4.110560,4.830550,2.614618,1.256455
roulette wheel,60,1,100,50,rastrigin,3,1.083447,3.885420,4.576571,2.264546,1.283185
roulette wheel,65,1,100,50,rastrigin,3,1.448452,3.871589,4.863803,2.027685,1.062955
roulette wheel,60,3,100,50,rastrigin,3,1.472837,4.116601,4.699291,2.343986,1.261195
