selection,limit,mutation_dims,phi0,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,10,1,0.500000,75,50,rastrigin,3,0.000725,0.187797,0.207475,0.349146,0.917240
roulette wheel,10,1,0.774630,75,50,rastrigin,3,0.002541,0.046937,0.047485,0.177451,0.888295
roulette wheel,10,1,0.578555,75,50,rastrigin,3,0.002598,0.045828,0.051735,0.128818,1.007850
roulette wheel,10,1,1.037155,75,50,rastrigin,3,0.002697,0.043412,0.042618,0.145637,1.022495
roulette wheel,10,1,0.896332,75,50,rastrigin,3,0.003353,0.097880,0.139770,0.252481,1.090970
roulette wheel,10,1,0.669452,75,50,rastrigin,3,0.011671,0.070127,0.075301,0.278919,1.112050
roulette wheel,10,1,1.200103,75,50,rastrigin,3,0.001862,0.026243,0.031266,0.038249,1.290100
roulette wheel,10,1,1.388651,75,50,rastrigin,3,0.000530,0.046114,0.039038,0.093764,1.018950
roulette wheel,10,1,1.606822,75,50,rastrigin,3,0.000080,0.080407,0.081345,0.169875,0.932265
roulette wheel,10,1,0.833262,75,50,rastrigin,3,0.002644,0.043521,0.039397,0.193547,0.943085
roulette wheel,10,1,0.537845,75,50,rastrigin,3,0.001015,0.053910,0.060111,0.241858,1.017370
roulette wheel,20,1,0.500000,75,50,rastrigin,3,0.000006,0.001918,0.002009,0.009672,1.132850
roulette wheel,10,1,1.859271,75,50,rastrigin,3,0.003796,0.120327,0.133643,0.271832,1.366555
roulette wheel,10,1,0.622346,75,50,rastrigin,3,0.000784,0.057877,0.046377,0.126461,0.898360
roulette wheel,20,1,0.578555,75,50,rastrigin,3,0.000021,0.001030,0.000904,0.006308,1.244240
roulette wheel,10,1,1.115658,75,50,rastrigin,3,0.000694,0.028861,0.027614,0.087660,0.893455
roulette wheel,10,1,0.964176,75,50,rastrigin,3,0.005066,0.055750,0.066099,0.143213,0.902385
roulette wheel,20,1,0.774630,75,50,rastrigin,3,0.000015,0.000553,0.000390,0.015069,0.910645
roulette wheel,20,1,0.669452,75,50,rastrigin,3,0.000004,0.000693,0.000761,0.005103,1.032435
roulette wheel,10,1,1.290939,75,50,rastrigin,3,0.001577,0.049361,0.024482,0.096102,0.911900
roulette wheel,10,1,0.720123,75,50,rastrigin,3,0.008492,0.046698,0.053161,0.083839,0.959320
roulette wheel,10,1,1.493759,75,50,rastrigin,3,0.005867,0.058841,0.060397,0.203068,0.970015
