selection,limit,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,5,100,50,rosenbrock,3,0.013811,0.095161,0.120486,0.116580,0.305635
roulette wheel,15,100,50,rosenbrock,3,0.006895,0.059127,0.069995,0.073180,0.299485
roulette wheel,30,100,50,rosenbrock,3,0.009163,0.044775,0.036342,0.068115,0.293375
roulette wheel,35,100,50,rosenbrock,3,0.001890,0.048945,0.064500,0.055795,0.311345
roulette wheel,45,100,50,rosenbrock,3,0.001426,0.041861,0.048937,0.044968,0.294015
roulette wheel,10,100,50,rosenbrock,3,0.024726,0.090674,0.108173,0.096968,0.537740
roulette wheel,25,100,50,rosenbrock,3,0.010671,0.063779,0.081638,0.066764,0.522490
roulette wheel,50,100,50,rosenbrock,3,0.005698,0.030566,0.034934,0.030656,0.303200
roulette wheel,20,100,50,rosenbrock,3,0.003033,0.053588,0.061414,0.075779,0.411900
roulette wheel,40,100,50,rosenbrock,3,0.003424,0.029010,0.030772,0.057525,0.366350
roulette wheel,60,100,50,rosenbrock,3,0.004017,0.022119,0.022430,0.054514,0.449265
roulette wheel,85,100,50,rosenbrock,3,0.004568,0.034200,0.041669,0.059082,0.332395
roulette wheel,90,100,50,rosenbrock,3,0.001718,0.022064,0.022355,0.032430,0.298910
roulette wheel,65,100,50,rosenbrock,3,0.003176,0.025666,0.022767,0.046872,0.445260
roulette wheel,55,100,50,rosenbrock,3,0.000778,0.027886,0.038765,0.044763,0.505680
roulette wheel,100,100,50,rosenbrock,3,0.007165,0.026064,0.033651,0.031760,0.297285
roulette wheel,105,100,50,rosenbrock,3,0.001152,0.015897,0.016531,0.031168,0.300890
roulette wheel,95,100,50,rosenbrock,3,0.001735,0.015274,0.014270,0.052556,0.329985
roulette wheel,70,100,50,rosenbrock,3,0.004464,0.036382,0.038046,0.041775,0.454165
roulette wheel,110,100,50,rosenbrock,3,0.000386,0.030164,0.034502,0.032197,0.316950
roulette wheel,75,100,50,rosenbrock,3,0.006389,0.021158,0.022411,0.037081,0.428870
roulette wheel,80,100,50,rosenbrock,3,0.001991,0.017802,0.022062,0.025295,0.426640
roulette wheel,125,100,50,rosenbrock,3,0.002521,0.019385,0.021055,0.031122,0.294740
roulette wheel,120,100,50,rosenbrock,3,0.000580,0.022708,0.026474,0.026749,0.364660
roulette wheel,190,100,50,rosenbrock,3,0.000618,0.024352,0.033541,0.081495,0.389550
roulette wheel,130,100,50,rosenbrock,3,0.002481,0.024665,0.029621,0.023897,0.371030
roulette wheel,195,100,50,rosenbrock,3,0.000617,0.010648,0.012811,0.019870,0.307455
roulette wheel,145,100,50,rosenbrock,3,0.001280,0.014120,0.016602,0.030376,0.306545
roulette wheel,155,100,50,rosenbrock,3,0.002352,0.031432,0.036883,0.038854,0.283585
roulette wheel,160,100,50,rosenbrock,3,0.000811,0.020010,0.024504,0.034552,0.285200
roulette wheel,150,100,50,rosenbrock,3,0.001251,0.025240,0.029468,0.054750,0.319305
roulette wheel,165,100,50,rosenbrock,3,0.003909,0.017980,0.023634,0.017328,0.280920
roulette wheel,140,100,50,rosenbrock,3,0.000953,0.015404,0.012771,0.041144,0.386145
roulette wheel,170,100,50,rosenbrock,3,0.002804,0.020684,0.023571,0.039137,0.303640
roulette wheel,175,100,50,rosenbrock,3,0.003261,0.027574,0.024472,0.063475,0.288520
roulette wheel,185,100,50,rosenbrock,3,0.000628,0.013381,0.014369,0.038357,0.306215
roulette wheel,115,100,50,rosenbrock,3,0.003526,0.015848,0.018783,0.021069,0.306995
tournament 3,15,100,50,rosenbrock,3,0.030847,0.146962,0.161187,0.184005,0.242455
roulette wheel,200,100,50,rosenbrock,3,0.002294,0.022201,0.025696,0.025984,0.285425
tournament 3,10,100,50,rosenbrock,3,0.048269,0.241565,0.341021,0.251459,0.249450
tournament 3,30,100,50,rosenbrock,3,0.003414,0.043905,0.050396,0.089919,0.228620
tournament 3,25,100,50,rosenbrock,3,0.010883,0.077340,0.073028,0.147958,0.291735
tournament 3,50,100,50,rosenbrock,3,0.001815,0.036105,0.040110,0.043388,0.237560
roulette wheel,180,100,50,rosenbrock,3,0.001925,0.016083,0.017974,0.048333,0.479250
tournament 3,20,100,50,rosenbrock,3,0.017068,0.075735,0.087916,0.063051,0.354885
roulette wheel,135,100,50,rosenbrock,3,0.002415,0.022953,0.024323,0.047044,0.388620
tournament 3,35,100,50,rosenbrock,3,0.001991,0.038318,0.039017,0.062350,0.328115
tournament 3,55,100,50,rosenbrock,3,0.000802,0.032059,0.035867,0.079893,0.268690
tournament 3,45,100,50,rosenbrock,3,0.001532,0.030514,0.031948,0.037402,0.347255
tournament 3,150,100,50,rosenbrock,3,0.002771,0.028429,0.025938,0.034410,0.225430
tournament 3,65,100,50,rosenbrock,3,0.003267,0.024399,0.024013,0.046076,0.248650
tournament 3,70,100,50,rosenbrock,3,0.002642,0.026854,0.024741,0.049771,0.258245
tournament 3,5,100,50,rosenbrock,3,0.088917,0.449203,0.492152,0.444213,0.590700
tournament 3,85,100,50,rosenbrock,3,0.001145,0.019897,0.024492,0.024117,0.224395
tournament 3,75,100,50,rosenbrock,3,0.001886,0.039994,0.051187,0.042167,0.274570
tournament 3,95,100,50,rosenbrock,3,0.003210,0.029401,0.035235,0.043847,0.230990
tournament 3,40,100,50,rosenbrock,3,0.003598,0.042262,0.051365,0.038377,0.526710
tournament 3,90,100,50,rosenbrock,3,0.005254,0.023504,0.030236,0.040731,0.259215
tournament 3,195,100,50,rosenbrock,3,0.003203,0.028128,0.028024,0.058722,0.240885
tournament 3,110,100,50,rosenbrock,3,0.005044,0.027397,0.030096,0.023970,0.243205
tournament 3,80,100,50,rosenbrock,3,0.003966,0.027954,0.035640,0.036861,0.383090
tournament 3,105,100,50,rosenbrock,3,0.001756,0.024316,0.029804,0.029866,0.332665
tournament 3,115,100,50,rosenbrock,3,0.002282,0.034289,0.035005,0.042475,0.224475
tournament 3,120,100,50,rosenbrock,3,0.009922,0.032427,0.041420,0.027324,0.255330
tournament 3,140,100,50,rosenbrock,3,0.003806,0.030994,0.034724,0.056398,0.223340
tournament 3,130,100,50,rosenbrock,3,0.005001,0.018107,0.017810,0.053221,0.301565
tournament 3,135,100,50,rosenbrock,3,0.001864,0.016444,0.018399,0.027475,0.300420
tournament 3,155,100,50,rosenbrock,3,0.001838,0.027385,0.037671,0.105676,0.237690
tournament 3,145,100,50,rosenbrock,3,0.000018,0.021909,0.030570,0.022685,0.261965
tournament 3,160,100,50,rosenbrock,3,0.007971,0.026711,0.025755,0.033159,0.266565
tournament 3,165,100,50,rosenbrock,3,0.005780,0.028046,0.030994,0.066193,0.262180
