selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,5,1,100,50,rosenbrock,3,0.003854,0.091013,0.117300,0.138432,0.868780
roulette wheel,10,2,100,50,rosenbrock,3,0.024783,0.279080,0.286312,0.206691,0.948015
roulette wheel,80,1,100,50,rosenbrock,3,0.005609,0.019628,0.021126,0.017696,1.011265
roulette wheel,10,3,100,50,rosenbrock,3,0.024742,0.333391,0.393280,0.306598,1.002785
roulette wheel,60,2,100,50,rosenbrock,3,0.020869,0.170225,0.200192,0.121966,1.061915
roulette wheel,15,3,100,50,rosenbrock,3,0.046246,0.217939,0.270628,0.214304,1.213135
roulette wheel,15,2,100,50,rosenbrock,3,0.074971,0.253297,0.310066,0.225773,0.963550
roulette wheel,20,1,100,50,rosenbrock,3,0.002749,0.038107,0.041215,0.082906,0.995460
roulette wheel,25,1,100,50,rosenbrock,3,0.010663,0.083204,0.087873,0.052378,0.913255
roulette wheel,15,1,100,50,rosenbrock,3,0.008672,0.074273,0.095726,0.086403,1.269675
roulette wheel,30,1,100,50,rosenbrock,3,0.008705,0.051348,0.065306,0.078713,1.051040
roulette wheel,30,3,100,50,rosenbrock,3,0.052826,0.170634,0.191871,0.241921,0.997750
roulette wheel,25,3,100,50,rosenbrock,3,0.031110,0.193364,0.232569,0.211558,1.162820
roulette wheel,25,2,100,50,rosenbrock,3,0.004752,0.223383,0.238090,0.223909,1.248610
roulette wheel,10,1,100,50,rosenbrock,3,0.037149,0.081641,0.085331,0.098724,1.507315
roulette wheel,20,3,100,50,rosenbrock,3,0.054775,0.168697,0.191129,0.177602,1.417785
roulette wheel,20,2,100,50,rosenbrock,3,0.060637,0.236612,0.263836,0.294608,1.472055
roulette wheel,35,1,100,50,rosenbrock,3,0.004037,0.042923,0.045614,0.060343,0.930650
roulette wheel,30,2,100,50,rosenbrock,3,0.013547,0.162926,0.168869,0.207682,1.356550
roulette wheel,35,2,100,50,rosenbrock,3,0.004159,0.133305,0.144805,0.211198,1.082675
roulette wheel,35,3,100,50,rosenbrock,3,0.014130,0.100153,0.135091,0.080391,1.140070
roulette wheel,45,1,100,50,rosenbrock,3,0.004841,0.033214,0.037428,0.054128,0.874665
roulette wheel,40,1,100,50,rosenbrock,3,0.001168,0.042674,0.040964,0.043183,0.980740
roulette wheel,40,2,100,50,rosenbrock,3,0.010071,0.143199,0.166106,0.130984,1.020345
roulette wheel,45,2,100,50,rosenbrock,3,0.019506,0.126661,0.145966,0.100127,1.051155
roulette wheel,40,3,100,50,rosenbrock,3,0.030017,0.117848,0.113400,0.135794,1.118165
roulette wheel,45,3,100,50,rosenbrock,3,0.010721,0.122139,0.162752,0.172610,1.074310
roulette wheel,55,1,100,50,rosenbrock,3,0.008236,0.025368,0.023687,0.029380,0.869700
roulette wheel,60,1,100,50,rosenbrock,3,0.000318,0.031928,0.039489,0.052567,0.885100
roulette wheel,110,2,100,50,rosenbrock,3,0.002049,0.061822,0.054300,0.074982,1.156570
roulette wheel,110,3,100,50,rosenbrock,3,0.003541,0.075303,0.081965,0.067996,1.172745
roulette wheel,115,2,100,50,rosenbrock,3,0.005687,0.048020,0.060918,0.114514,1.079450
roulette wheel,60,3,100,50,rosenbrock,3,0.005639,0.048401,0.068390,0.063610,0.981670
roulette wheel,55,3,100,50,rosenbrock,3,0.011175,0.081966,0.092569,0.092585,1.135510
roulette wheel,125,1,100,50,rosenbrock,3,0.001411,0.011490,0.010682,0.039213,1.023400
roulette wheel,5,2,100,50,rosenbrock,3,0.039340,0.488404,0.627656,0.388226,1.105820
roulette wheel,125,2,100,50,rosenbrock,3,0.004912,0.056241,0.062314,0.107663,1.159905
roulette wheel,130,1,100,50,rosenbrock,3,0.002051,0.015670,0.014880,0.037010,1.005195
roulette wheel,130,2,100,50,rosenbrock,3,0.001990,0.047259,0.063774,0.116071,0.967735
roulette wheel,70,2,100,50,rosenbrock,3,0.003386,0.064675,0.071890,0.069964,1.078060
roulette wheel,125,3,100,50,rosenbrock,3,0.022132,0.077463,0.088671,0.182770,1.210525
roulette wheel,130,3,100,50,rosenbrock,3,0.006523,0.064083,0.072546,0.059453,1.125075
roulette wheel,75,2,100,50,rosenbrock,3,0.013453,0.082352,0.088438,0.128084,1.037580
roulette wheel,75,3,100,50,rosenbrock,3,0.004193,0.065619,0.072812,0.092550,0.989365
roulette wheel,80,2,100,50,rosenbrock,3,0.008658,0.052864,0.056196,0.059555,0.903710
roulette wheel,50,1,100,50,rosenbrock,3,0.000362,0.029034,0.029920,0.038445,1.956585
roulette wheel,5,3,100,50,rosenbrock,3,0.142574,0.517687,0.640638,0.554045,1.164935
roulette wheel,85,1,100,50,rosenbrock,3,0.001134,0.020124,0.022868,0.028474,0.884710
roulette wheel,90,2,100,50,rosenbrock,3,0.013063,0.087524,0.096734,0.113459,0.926715
roulette wheel,80,3,100,50,rosenbrock,3,0.005523,0.074077,0.091964,0.145158,1.119895
roulette wheel,90,1,100,50,rosenbrock,3,0.000888,0.026637,0.028097,0.029454,1.012790
roulette wheel,90,3,100,50,rosenbrock,3,0.023681,0.075030,0.079649,0.072986,0.973860
roulette wheel,85,2,100,50,rosenbrock,3,0.006222,0.063249,0.068004,0.079153,1.113220
roulette wheel,95,1,100,50,rosenbrock,3,0.002821,0.027175,0.030343,0.033276,0.991255
roulette wheel,145,3,100,50,rosenbrock,3,0.018173,0.061993,0.060741,0.066596,1.187340
roulette wheel,155,2,100,50,rosenbrock,3,0.004455,0.053033,0.057693,0.063234,1.071640
roulette wheel,100,2,100,50,rosenbrock,3,0.002504,0.069042,0.080277,0.113122,1.083690
roulette wheel,110,1,100,50,rosenbrock,3,0.004158,0.032480,0.039085,0.047833,0.881050
roulette wheel,170,1,100,50,rosenbrock,3,0.001243,0.037829,0.025397,0.062604,0.920525
roulette wheel,100,3,100,50,rosenbrock,3,0.009071,0.082654,0.104875,0.079163,1.125605
roulette wheel,105,1,100,50,rosenbrock,3,0.000796,0.017380,0.014581,0.039941,0.987255
roulette wheel,50,2,100,50,rosenbrock,3,0.012764,0.094282,0.114213,0.117620,0.907115
roulette wheel,160,1,100,50,rosenbrock,3,0.000135,0.011468,0.008219,0.028160,1.283980
roulette wheel,105,2,100,50,rosenbrock,3,0.001351,0.058717,0.069631,0.108133,1.055945
roulette wheel,95,3,100,50,rosenbrock,3,0.001023,0.064835,0.077125,0.143737,1.452730
roulette wheel,50,3,100,50,rosenbrock,3,0.005624,0.073736,0.088896,0.085907,1.127240
roulette wheel,65,1,100,50,rosenbrock,3,0.002449,0.015238,0.018475,0.021650,1.010630
roulette wheel,170,3,100,50,rosenbrock,3,0.008022,0.079232,0.103185,0.082937,1.376620
roulette wheel,120,1,100,50,rosenbrock,3,0.006107,0.026411,0.021264,0.040783,1.123525
roulette wheel,120,2,100,50,rosenbrock,3,0.008637,0.055493,0.075164,0.051486,1.110235
roulette wheel,180,3,100,50,rosenbrock,3,0.012016,0.072996,0.065672,0.097705,1.114945
roulette wheel,70,1,100,50,rosenbrock,3,0.000722,0.022817,0.024652,0.045824,0.892030
roulette wheel,65,2,100,50,rosenbrock,3,0.008340,0.075611,0.100950,0.111827,1.079275
roulette wheel,65,3,100,50,rosenbrock,3,0.006702,0.089745,0.104240,0.072395,1.143220
roulette wheel,70,3,100,50,rosenbrock,3,0.030336,0.107096,0.110108,0.122901,0.944505
roulette wheel,175,3,100,50,rosenbrock,3,0.010508,0.088058,0.135439,0.099851,1.420635
roulette wheel,135,1,100,50,rosenbrock,3,0.002161,0.020438,0.023827,0.042649,0.935850
roulette wheel,75,1,100,50,rosenbrock,3,0.000180,0.018897,0.025567,0.062054,0.988765
roulette wheel,135,2,100,50,rosenbrock,3,0.004437,0.038201,0.036441,0.064954,0.963110
roulette wheel,140,2,100,50,rosenbrock,3,0.001452,0.055596,0.070777,0.075248,0.924995
roulette wheel,140,1,100,50,rosenbrock,3,0.001712,0.014221,0.018889,0.039539,0.984420
roulette wheel,135,3,100,50,rosenbrock,3,0.012465,0.056367,0.063345,0.069607,1.128305
roulette wheel,145,1,100,50,rosenbrock,3,0.003770,0.021989,0.028698,0.025204,0.993825
roulette wheel,140,3,100,50,rosenbrock,3,0.001540,0.043434,0.051723,0.077636,1.113855
roulette wheel,85,3,100,50,rosenbrock,3,0.010239,0.050775,0.063437,0.044750,0.998660
roulette wheel,55,2,100,50,rosenbrock,3,0.022299,0.109558,0.133087,0.111844,2.172760
roulette wheel,200,3,100,50,rosenbrock,3,0.004007,0.071496,0.107053,0.086520,1.444695
tournament 3,5,2,100,50,rosenbrock,3,0.206874,0.659213,0.680719,0.587212,1.135535
roulette wheel,155,1,100,50,rosenbrock,3,0.000979,0.025374,0.029605,0.022419,1.030650
roulette wheel,95,2,100,50,rosenbrock,3,0.034722,0.112639,0.118133,0.089459,0.992220
roulette wheel,100,1,100,50,rosenbrock,3,0.001336,0.023289,0.027898,0.024093,0.883105
roulette wheel,150,3,100,50,rosenbrock,3,0.004073,0.072795,0.073421,0.086304,1.149335
tournament 3,25,2,100,50,rosenbrock,3,0.009029,0.184755,0.217483,0.171576,0.878170
roulette wheel,155,3,100,50,rosenbrock,3,0.016021,0.066030,0.073220,0.071406,1.132270
roulette wheel,160,2,100,50,rosenbrock,3,0.005670,0.085046,0.104795,0.070080,1.072420
tournament 3,25,1,100,50,rosenbrock,3,0.001618,0.053432,0.071054,0.057412,0.990795
roulette wheel,160,3,100,50,rosenbrock,3,0.007635,0.037590,0.041581,0.070405,1.035905
roulette wheel,165,3,100,50,rosenbrock,3,0.007120,0.052729,0.065461,0.096928,0.973530
roulette wheel,170,2,100,50,rosenbrock,3,0.002407,0.079763,0.099838,0.091823,0.917985
roulette wheel,150,1,100,50,rosenbrock,3,0.000286,0.010914,0.009865,0.031118,1.723650
roulette wheel,105,3,100,50,rosenbrock,3,0.002782,0.042734,0.045457,0.077435,1.138115
tournament 3,35,1,100,50,rosenbrock,3,0.009649,0.054164,0.070989,0.069000,1.040220
tournament 3,35,2,100,50,rosenbrock,3,0.010243,0.062941,0.064632,0.106017,1.162595
tournament 3,45,2,100,50,rosenbrock,3,0.007202,0.079309,0.085882,0.103377,0.894575
tournament 3,30,3,100,50,rosenbrock,3,0.015503,0.091134,0.095167,0.090291,1.378415
roulette wheel,180,2,100,50,rosenbrock,3,0.020974,0.072812,0.077740,0.065884,0.947610
roulette wheel,180,1,100,50,rosenbrock,3,0.000533,0.020169,0.021231,0.038627,1.016065
roulette wheel,185,1,100,50,rosenbrock,3,0.002018,0.017487,0.023102,0.068706,1.021215
roulette wheel,120,3,100,50,rosenbrock,3,0.003420,0.051021,0.061188,0.085967,1.139455
roulette wheel,190,1,100,50,rosenbrock,3,0.000303,0.027046,0.037495,0.085402,0.995030
roulette wheel,115,3,100,50,rosenbrock,3,0.015937,0.062590,0.078792,0.087817,1.267570
tournament 3,55,2,100,50,rosenbrock,3,0.004891,0.124889,0.169313,0.124614,0.926685
roulette wheel,195,1,100,50,rosenbrock,3,0.007129,0.028501,0.031717,0.034247,0.997170
roulette wheel,200,1,100,50,rosenbrock,3,0.002556,0.020666,0.025243,0.031829,0.890440
roulette wheel,190,3,100,50,rosenbrock,3,0.017182,0.063085,0.071336,0.068141,1.122865
roulette wheel,195,3,100,50,rosenbrock,3,0.002033,0.064494,0.066625,0.075038,1.033300
tournament 3,60,1,100,50,rosenbrock,3,0.005042,0.031443,0.032115,0.031498,0.899960
tournament 3,10,1,100,50,rosenbrock,3,0.058758,0.150930,0.159854,0.144455,0.821320
tournament 3,5,1,100,50,rosenbrock,3,0.044161,0.493297,0.546963,0.392938,1.032655
tournament 3,50,1,100,50,rosenbrock,3,0.003486,0.024305,0.029990,0.017757,1.466780
roulette wheel,150,2,100,50,rosenbrock,3,0.007251,0.059715,0.066514,0.072409,1.076785
tournament 3,60,3,100,50,rosenbrock,3,0.007520,0.053881,0.066105,0.107147,1.119465
tournament 3,45,3,100,50,rosenbrock,3,0.004621,0.056284,0.048994,0.117067,1.575285
tournament 3,5,3,100,50,rosenbrock,3,0.165752,0.734276,0.783963,0.588704,1.160070
tournament 3,10,3,100,50,rosenbrock,3,0.069237,0.315329,0.381667,0.340575,0.932080
tournament 3,65,1,100,50,rosenbrock,3,0.002620,0.029562,0.034301,0.043122,1.001925
tournament 3,20,1,100,50,rosenbrock,3,0.008956,0.070921,0.098054,0.091494,0.821005
tournament 3,20,2,100,50,rosenbrock,3,0.056482,0.169918,0.179733,0.174746,0.863015
tournament 3,15,2,100,50,rosenbrock,3,0.048407,0.226017,0.250696,0.282157,1.015130
roulette wheel,165,2,100,50,rosenbrock,3,0.005756,0.085419,0.094693,0.122176,0.903050
roulette wheel,165,1,100,50,rosenbrock,3,0.003186,0.027260,0.024674,0.025651,0.991680
tournament 3,20,3,100,50,rosenbrock,3,0.060936,0.232533,0.265709,0.154975,1.006825
tournament 3,15,3,100,50,rosenbrock,3,0.016714,0.223100,0.298379,0.166570,1.136575
tournament 3,30,1,100,50,rosenbrock,3,0.002961,0.044344,0.044684,0.050763,1.000405
tournament 3,30,2,100,50,rosenbrock,3,0.024979,0.133677,0.158759,0.178753,1.085935
roulette wheel,175,1,100,50,rosenbrock,3,0.000157,0.019710,0.022242,0.027906,0.912750
tournament 3,90,1,100,50,rosenbrock,3,0.001043,0.020270,0.022477,0.026123,1.203915
roulette wheel,115,1,100,50,rosenbrock,3,0.001405,0.032578,0.039292,0.038400,1.001800
tournament 3,40,1,100,50,rosenbrock,3,0.011424,0.056169,0.067984,0.105767,0.995470
tournament 3,45,1,100,50,rosenbrock,3,0.002700,0.038845,0.042838,0.078226,0.801520
roulette wheel,175,2,100,50,rosenbrock,3,0.019614,0.054766,0.063041,0.069190,1.101345
