selection,limit,mutation_dims,phi0,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,30,1,0.578555,75,50,rosenbrock,3,0.000301,0.020685,0.024507,0.052139,0.705545
roulette wheel,10,1,1.200103,75,50,rosenbrock,3,0.012897,0.148061,0.153333,0.193704,0.643880
roulette wheel,60,1,1.388651,75,50,rosenbrock,3,0.003127,0.050466,0.061739,0.065460,0.704665
roulette wheel,10,1,0.500000,75,50,rosenbrock,3,0.008143,0.053916,0.059819,0.070168,0.713775
roulette wheel,40,1,1.200103,75,50,rosenbrock,3,0.001266,0.052880,0.060904,0.224488,0.742910
roulette wheel,10,1,1.606822,75,50,rosenbrock,3,0.008262,0.160429,0.157973,0.310843,0.663870
roulette wheel,70,1,1.388651,75,50,rosenbrock,3,0.012889,0.042982,0.047102,0.047426,0.754545
roulette wheel,10,1,1.388651,75,50,rosenbrock,3,0.041505,0.245248,0.303425,0.250440,0.750380
roulette wheel,10,1,1.859271,75,50,rosenbrock,3,0.011295,0.208136,0.239882,0.268573,0.756530
roulette wheel,20,1,0.669452,75,50,rosenbrock,3,0.004233,0.060794,0.079424,0.074124,0.646230
roulette wheel,20,1,0.774630,75,50,rosenbrock,3,0.007057,0.063207,0.070963,0.106338,0.652215
roulette wheel,20,1,0.500000,75,50,rosenbrock,3,0.021694,0.055561,0.050654,0.084395,0.756315
roulette wheel,20,1,0.578555,75,50,rosenbrock,3,0.007880,0.071318,0.086494,0.062261,0.736875
roulette wheel,20,1,1.037155,75,50,rosenbrock,3,0.024236,0.124973,0.147416,0.088490,0.656575
roulette wheel,20,1,1.388651,75,50,rosenbrock,3,0.002423,0.116295,0.142205,0.095555,0.655675
roulette wheel,20,1,0.896332,75,50,rosenbrock,3,0.006576,0.075129,0.096396,0.077113,0.759680
roulette wheel,20,1,1.200103,75,50,rosenbrock,3,0.006267,0.101780,0.135239,0.131238,0.752885
