teaching_factor,n_leaders,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
0.500000,3,150,50,rastrigin,3,0.000000,0.462321,0.994957,0.737261,11.178660
0.642857,3,150,50,rastrigin,3,0.000000,0.373110,0.497506,0.632103,11.973620
0.785714,3,150,50,rastrigin,3,0.000000,0.460759,0.994957,0.723826,10.669700
0.928571,3,150,50,rastrigin,3,0.000000,0.559663,0.994957,0.915956,10.716280
1.071429,3,150,50,rastrigin,3,0.000000,0.447731,0.994957,0.842548,10.697160
1.214286,3,150,50,rastrigin,3,0.000000,0.485047,0.994957,0.690471,10.707020
1.357143,3,150,50,rastrigin,3,0.000000,0.397983,0.994957,0.696755,10.707620
1.500000,3,150,50,rastrigin,3,0.000000,0.424421,0.994957,0.653128,10.727450
1.642857,3,150,50,rastrigin,3,0.000000,0.447736,0.994957,0.735121,10.783330
1.785714,3,150,50,rastrigin,3,0.000000,0.572101,0.994957,0.767460,10.953140
1.928571,3,150,50,rastrigin,3,0.000000,0.373109,0.497478,0.632092,10.802220
2.071429,3,150,50,rastrigin,3,0.000000,0.499945,0.994957,0.704477,10.776200
2.214286,3,150,50,rastrigin,3,0.000000,0.447731,0.994957,0.660805,11.156630
2.357143,3,150,50,rastrigin,3,0.000000,0.522352,0.994957,0.691288,10.785190
2.500000,3,150,50,rastrigin,3,0.000000,0.422902,0.994957,0.737847,10.849500
0.500000,3,450,150,rastrigin,6,1.989914,5.422516,6.964699,3.384550,140.506760
0.642857,3,450,150,rastrigin,6,0.000000,5.435869,5.969745,4.131470,139.148860
0.785714,3,450,150,rastrigin,6,0.994957,5.459828,5.969744,3.984847,137.585920
0.928571,3,450,150,rastrigin,6,0.994957,5.671257,6.964701,3.766985,138.815970
1.071429,3,450,150,rastrigin,6,0.994957,5.447392,6.964699,4.112180,140.010000
1.214286,3,450,150,rastrigin,6,0.000000,4.999659,5.969743,2.943777,141.510910
1.357143,3,450,150,rastrigin,6,0.994957,4.962348,5.969744,3.091403,148.804170
1.500000,3,450,150,rastrigin,6,0.994957,4.439995,5.969743,3.044698,144.448280
1.642857,3,450,150,rastrigin,6,0.000000,4.265878,4.974788,3.435281,139.632910
1.785714,3,450,150,rastrigin,6,0.994957,4.775793,5.969743,2.943105,139.119290
1.928571,3,450,150,rastrigin,6,0.994957,5.124028,5.969744,2.808161,137.484370
2.071429,3,450,150,rastrigin,6,0.000000,4.788248,5.969744,3.192920,137.175450
2.214286,3,450,150,rastrigin,6,0.994957,5.335457,5.969744,3.032318,138.228360
2.357143,3,450,150,rastrigin,6,0.994957,5.055646,6.467222,3.010498,138.921020
2.500000,3,450,150,rastrigin,6,0.000000,4.974787,5.969743,3.583654,138.676710
0.500000,3,900,300,rastrigin,9,3.979830,12.737219,14.924358,6.114442,718.934090
0.642857,3,900,300,rastrigin,9,2.984871,12.138474,13.929405,6.838459,717.639580
0.785714,3,900,300,rastrigin,9,3.979830,12.586205,14.426879,6.512086,721.207630
0.928571,3,900,300,rastrigin,9,3.979829,12.138477,14.426870,6.941016,721.152120
1.071429,3,900,300,rastrigin,9,1.989915,12.511585,14.426872,6.955665,717.034860
1.214286,3,900,300,rastrigin,9,1.989914,10.907216,12.934444,5.748883,719.955420
1.357143,3,900,300,rastrigin,9,2.984871,10.409739,11.939486,5.907356,723.916150
1.500000,3,900,300,rastrigin,9,3.979830,10.235624,11.442011,5.095840,763.507470
1.642857,3,900,300,rastrigin,9,3.979828,10.621166,11.939492,5.919776,725.701580
1.785714,3,900,300,rastrigin,9,3.979828,9.539150,10.944528,5.674378,728.871640
1.928571,3,900,300,rastrigin,9,2.984872,10.049954,11.442009,5.394428,728.851750
2.071429,3,900,300,rastrigin,9,0.994957,10.297804,11.939488,5.625604,731.236210
2.214286,3,900,300,rastrigin,9,1.989914,9.899828,11.442000,4.942837,729.216050
2.357143,3,900,300,rastrigin,9,2.984871,11.243014,12.934444,6.164712,728.114930
2.500000,3,900,300,rastrigin,9,0.494166,10.328858,11.939489,6.404621,727.786110
