teaching_factor,n_leaders,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.049730,9.114970
0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000719,9.027620
0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.043700
0.928571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.967860
1.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.819680
1.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.893010
1.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.802550
1.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.815470
1.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.843520
1.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000002,8.864840
1.928571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.821140
2.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.102900,8.872000
2.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.765360
2.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.786500
2.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.810170
0.500000,3,450,150,rosenbrock,6,0.000000,0.099348,0.000000,1.646190,106.450500
0.642857,3,450,150,rosenbrock,6,0.000000,0.397394,0.000000,1.784294,117.817580
0.785714,3,450,150,rosenbrock,6,0.000000,0.049674,0.000000,1.618618,113.371240
0.928571,3,450,150,rosenbrock,6,0.000000,0.248889,0.000000,1.720532,106.035180
1.071429,3,450,150,rosenbrock,6,0.000000,0.298045,0.000000,1.743106,105.326940
1.214286,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.336368,105.934280
1.357143,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.378906,106.068950
1.500000,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.137269,106.291500
1.642857,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.418980,105.535110
1.785714,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.192182,106.675870
1.928571,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.013939,105.642430
2.071429,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.078038,106.041710
2.214286,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.526738,105.988400
2.357143,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.078103,105.985890
2.500000,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.378906,106.358100
0.500000,3,900,300,rosenbrock,9,0.000000,2.771346,3.965814,2.585467,529.213460
0.642857,3,900,300,rosenbrock,9,0.000000,2.690437,3.950850,7.767412,529.024240
0.785714,3,900,300,rosenbrock,9,0.000000,2.847167,3.986535,2.633937,536.313900
0.928571,3,900,300,rosenbrock,9,0.000000,2.710064,4.013253,3.007460,527.362050
1.071429,3,900,300,rosenbrock,9,0.000000,3.406726,4.125377,3.664348,526.517730
1.214286,3,900,300,rosenbrock,9,0.097417,3.845665,4.855398,2.197421,527.843780
1.357143,3,900,300,rosenbrock,9,0.218098,3.443232,4.094973,1.881234,528.995030
1.500000,3,900,300,rosenbrock,9,0.000123,3.616041,4.250900,1.948538,530.970190
1.642857,3,900,300,rosenbrock,9,0.356567,4.147264,4.736494,1.830011,529.918840
1.785714,3,900,300,rosenbrock,9,0.493125,3.922990,4.516722,1.821861,527.423780
1.928571,3,900,300,rosenbrock,9,0.520273,3.904796,4.740381,1.832077,525.868760
2.071429,3,900,300,rosenbrock,9,0.021553,3.877029,4.440580,1.670768,525.840710
2.214286,3,900,300,rosenbrock,9,0.032807,3.947821,4.814850,1.852678,525.825750
2.357143,3,900,300,rosenbrock,9,0.350870,3.927294,4.451180,1.656811,527.534500
2.500000,3,900,300,rosenbrock,9,0.911361,3.973045,4.560572,1.659614,535.263500
