teaching_factor,outstanding_percentage,n_leaders,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
0.500000,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.049042,8.241080
0.500000,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.772780
0.500000,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000006,8.223880
0.500000,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.252910
0.500000,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.410030
0.500000,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.481800
0.500000,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,8.643810
0.500000,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.003307,8.802110
0.500000,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.012481,8.876360
0.500000,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000016,8.959560
0.500000,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000068,9.035590
0.500000,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.107161,9.161110
0.500000,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.056845,9.281850
0.500000,0.928571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000182,12.317220
0.500000,1.000000,3,150,50,rosenbrock,3,0.000000,0.000027,0.000003,0.119152,13.851640
0.642857,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.235674,10.968590
0.642857,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000799,10.447380
0.642857,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000029,9.218790
0.642857,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.261440
0.642857,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.357800
0.642857,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.570960
0.642857,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.632590
0.642857,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000003,10.273490
