n_leaders,a_factor,c_factor,convergence,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
3,0.200000,0.907884,linear,150,50,rastrigin,3,0.997368,3.480045,4.538991,2.696525,2.071750
3,0.200000,8.314736,linear,150,50,rastrigin,3,0.000000,1.057143,0.994959,2.036628,2.032370
3,0.200000,0.300000,linear,150,50,rastrigin,3,1.288988,5.679230,7.169486,4.088073,2.519490
3,0.200000,1.579374,linear,150,50,rastrigin,3,0.000004,3.523183,4.977718,2.514735,2.526390
3,0.200000,4.779626,linear,150,50,rastrigin,3,0.000000,2.176484,2.487402,2.704299,2.729150
3,0.200000,2.747511,linear,150,50,rastrigin,3,0.997568,3.096669,3.226457,1.975869,2.867245
3,0.200000,0.521886,linear,150,50,rastrigin,3,0.630487,4.846504,5.594987,4.724552,3.128955
3,0.245725,0.360805,linear,150,50,rastrigin,3,0.135149,5.608133,6.208312,4.145041,3.037060
3,0.245725,0.627664,linear,150,50,rastrigin,3,1.401802,5.188423,5.555754,4.556750,2.905450
3,0.200000,10.000000,linear,150,50,rastrigin,3,0.000000,0.559664,0.994957,1.177250,2.600850
3,0.200000,1.091897,linear,150,50,rastrigin,3,2.189468,5.118208,5.371608,3.885841,2.698030
3,0.200000,1.899487,linear,150,50,rastrigin,3,0.995020,3.148681,4.006263,2.789286,2.541165
3,0.200000,0.360805,linear,150,50,rastrigin,3,1.000633,5.095074,5.489119,4.321290,2.672510
3,0.245725,1.091897,linear,150,50,rastrigin,3,1.019934,3.719881,4.083490,3.471074,2.843595
3,0.245725,1.899487,linear,150,50,rastrigin,3,0.019642,3.071376,4.063884,3.108552,2.338085
3,0.245725,3.304387,linear,150,50,rastrigin,3,0.000000,1.929501,1.990016,2.710495,3.323900
3,0.245725,0.754882,linear,150,50,rastrigin,3,1.067436,4.881321,6.005808,3.726834,1.653555
3,0.245725,5.748380,linear,150,50,rastrigin,3,0.000000,0.746218,0.994958,1.102340,3.171685
3,0.200000,3.304387,linear,150,50,rastrigin,3,0.994957,2.614390,3.482371,2.711548,2.474105
3,0.245725,0.300000,linear,150,50,rastrigin,3,2.039923,6.703883,7.657990,4.365486,2.168935
3,0.245725,0.433935,linear,150,50,rastrigin,3,0.130253,4.281705,5.274004,3.000293,2.405865
3,0.200000,2.284483,linear,150,50,rastrigin,3,0.000013,2.417551,2.073977,3.365968,2.812750
3,0.200000,5.748380,linear,150,50,rastrigin,3,0.000000,2.238701,2.984875,2.131604,3.038155
3,0.200000,1.313208,linear,150,50,rastrigin,3,1.020638,3.656300,5.048298,2.547413,2.937615
3,0.245725,2.284483,linear,150,50,rastrigin,3,0.000154,1.751418,1.989921,2.105459,2.963020
3,0.245725,10.000000,linear,150,50,rastrigin,3,0.000000,0.684033,0.994957,0.860221,3.206920
3,0.301904,1.313208,linear,150,50,rastrigin,3,0.000000,3.061544,3.980351,3.542190,3.042330
3,0.245725,1.313208,linear,150,50,rastrigin,3,0.001385,3.374350,4.979131,3.091622,3.276195
3,0.200000,0.433935,linear,150,50,rastrigin,3,1.248495,4.799829,5.991980,3.778845,3.356585
3,0.200000,3.974133,linear,150,50,rastrigin,3,0.000063,1.679541,1.493249,2.801138,2.911205
3,0.301904,3.974133,linear,150,50,rastrigin,3,0.000000,1.616807,1.989917,2.502765,3.283245
3,0.245725,3.974133,linear,150,50,rastrigin,3,0.000000,1.866112,2.487396,2.687985,3.567310
3,0.245725,6.913484,linear,150,50,rastrigin,3,0.000000,1.554621,1.989915,1.528483,3.218350
3,0.301904,0.433935,linear,150,50,rastrigin,3,0.998514,5.097054,5.775193,4.102636,3.813800
3,0.200000,0.627664,linear,150,50,rastrigin,3,2.022549,5.459569,6.091444,3.124214,3.901830
3,0.370927,0.521886,linear,150,50,rastrigin,3,1.062622,4.417324,5.391543,3.740407,3.123895
3,0.301904,2.284483,linear,150,50,rastrigin,3,0.995161,2.748298,2.984875,2.328697,3.953725
3,0.370927,0.300000,linear,150,50,rastrigin,3,0.273411,5.326426,6.001144,3.192459,3.323930
3,0.370927,0.907884,linear,150,50,rastrigin,3,0.995266,4.337053,5.074506,3.158345,3.252970
3,0.370927,1.579374,linear,150,50,rastrigin,3,0.994965,3.058717,2.998060,2.632582,3.321605
3,0.200000,6.913484,linear,150,50,rastrigin,3,0.000000,1.492445,1.989916,2.017090,2.626660
3,0.245725,0.907884,linear,150,50,rastrigin,3,1.989992,3.633659,3.989047,2.511620,4.491050
3,0.301904,0.754882,linear,150,50,rastrigin,3,1.223845,3.560378,4.982836,2.714340,4.633165
3,0.370927,4.779626,linear,150,50,rastrigin,3,0.000000,1.181512,1.989915,1.269303,2.630415
3,0.301904,6.913484,linear,150,50,rastrigin,3,0.000000,0.808403,0.994957,0.826474,4.199430
3,0.245725,0.521886,linear,150,50,rastrigin,3,1.193352,5.653714,6.019493,3.233526,4.174730
3,0.370927,2.747511,linear,150,50,rastrigin,3,0.000008,2.274493,1.989919,1.848304,3.471265
3,0.370927,8.314736,linear,150,50,rastrigin,3,0.000000,0.559663,0.994957,1.154965,2.651320
3,0.245725,2.747511,linear,150,50,rastrigin,3,0.000156,1.685550,1.989953,2.253326,2.386810
3,0.455730,1.091897,linear,150,50,rastrigin,3,0.022076,2.968647,3.981504,2.177319,2.449155
3,0.455730,0.360805,linear,150,50,rastrigin,3,0.996216,5.385818,5.505095,5.273372,2.876965
3,0.301904,0.300000,linear,150,50,rastrigin,3,1.068531,4.376495,5.298402,3.440324,2.975470
3,0.301904,1.579374,linear,150,50,rastrigin,3,0.003933,3.196789,3.979848,3.540532,3.089545
3,0.245725,1.579374,linear,150,50,rastrigin,3,0.995262,2.860137,3.003472,2.463132,3.120720
3,0.245725,4.779626,linear,150,50,rastrigin,3,0.000000,1.554623,1.989918,2.167890,2.712785
3,0.455730,0.627664,linear,150,50,rastrigin,3,0.995914,4.294565,5.004246,2.805248,3.164765
3,0.301904,4.779626,linear,150,50,rastrigin,3,0.000000,1.430252,1.989916,1.352374,2.917220
3,0.245725,8.314736,linear,150,50,rastrigin,3,0.000000,0.684033,0.994957,1.018314,2.674795
3,0.455730,3.304387,linear,150,50,rastrigin,3,0.000000,1.119328,0.994960,1.437533,3.002245
3,0.455730,5.748380,linear,150,50,rastrigin,3,0.000000,0.497478,0.994957,0.637084,3.154470
3,0.301904,2.747511,linear,150,50,rastrigin,3,0.000000,1.554696,1.989916,2.213164,3.409105
3,0.301904,0.521886,linear,150,50,rastrigin,3,1.053185,4.787163,5.266454,2.902638,3.013995
3,0.370927,0.627664,linear,150,50,rastrigin,3,0.998013,4.049261,4.562169,3.426715,3.058145
3,0.455730,10.000000,linear,150,50,rastrigin,3,0.000000,0.248739,0.000000,0.586519,3.663215
3,0.200000,0.754882,linear,150,50,rastrigin,3,0.860039,4.081859,5.102817,3.954583,3.658680
3,0.370927,1.091897,linear,150,50,rastrigin,3,0.000069,3.611830,4.975015,2.487196,3.020845
3,0.559922,0.433935,linear,150,50,rastrigin,3,1.020824,4.206757,5.006965,2.801228,2.490335
3,0.455730,1.899487,linear,150,50,rastrigin,3,0.000000,2.611784,2.984878,2.237353,3.621830
3,0.370927,3.304387,linear,150,50,rastrigin,3,0.000000,1.181514,1.989917,2.121732,1.814995
3,0.370927,0.360805,linear,150,50,rastrigin,3,1.242441,4.831465,5.974741,2.630232,3.582650
3,0.370927,5.748380,linear,150,50,rastrigin,3,0.000000,0.870589,0.994959,0.905084,2.158705
3,0.301904,0.907884,linear,150,50,rastrigin,3,0.995003,3.736306,5.011795,3.314413,2.239070
3,0.559922,1.313208,linear,150,50,rastrigin,3,0.000029,2.927624,3.482699,2.431875,2.617855
3,0.559922,0.754882,linear,150,50,rastrigin,3,0.994972,3.402464,4.495282,2.883833,2.922305
3,0.301904,8.314736,linear,150,50,rastrigin,3,0.000000,0.808403,0.994957,1.116838,2.788855
3,0.455730,1.313208,linear,150,50,rastrigin,3,0.000008,2.432260,2.985672,2.883726,2.504615
3,0.370927,10.000000,linear,150,50,rastrigin,3,0.000000,0.373109,0.497478,1.024372,3.342470
3,0.370927,1.899487,linear,150,50,rastrigin,3,0.994959,2.552247,2.984876,1.909532,4.658495
3,0.455730,3.974133,linear,150,50,rastrigin,3,0.000000,0.684033,0.994957,0.889917,2.311125
3,0.301904,5.748380,linear,150,50,rastrigin,3,0.000000,0.746218,0.994957,1.008546,2.448235
3,0.455730,0.433935,linear,150,50,rastrigin,3,0.394650,3.763096,4.995627,3.739503,3.307400
3,0.559922,3.974133,linear,150,50,rastrigin,3,0.000000,0.684033,0.994957,0.968488,3.694835
3,0.301904,0.360805,linear,150,50,rastrigin,3,2.198408,5.512959,6.257736,2.824768,2.825265
3,0.559922,2.284483,linear,150,50,rastrigin,3,0.000000,2.176471,1.989918,2.257370,3.974100
3,0.301904,1.899487,linear,150,50,rastrigin,3,0.994967,2.753878,3.485852,2.766907,2.982245
3,0.455730,0.754882,linear,150,50,rastrigin,3,1.990244,4.988950,5.971788,3.220532,3.005715
3,0.687934,0.300000,linear,150,50,rastrigin,3,0.038383,3.997981,5.155626,2.802281,3.054320
3,0.687934,0.521886,linear,150,50,rastrigin,3,0.008827,3.846636,4.978088,4.176325,2.936265
3,0.687934,2.747511,linear,150,50,rastrigin,3,0.000000,0.497479,0.994957,0.744559,2.031765
3,0.559922,0.521886,linear,150,50,rastrigin,3,1.008352,3.708524,4.751747,3.881473,2.102490
3,0.455730,2.284483,linear,150,50,rastrigin,3,0.994957,2.363203,1.991250,1.457948,2.155505
3,0.455730,1.579374,linear,150,50,rastrigin,3,0.994961,2.759748,2.552519,2.841213,1.555040
3,0.370927,0.754882,linear,150,50,rastrigin,3,1.136086,4.325576,3.493460,5.911427,2.535685
3,0.455730,6.913484,linear,150,50,rastrigin,3,0.000000,0.497478,0.994957,0.487428,3.232310
3,0.370927,3.974133,linear,150,50,rastrigin,3,0.994957,1.616806,1.989916,1.173038,1.831475
3,0.559922,6.913484,linear,150,50,rastrigin,3,0.000000,0.124370,0.000000,0.455947,3.929420
3,0.687934,8.314736,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.507331,0.960180
3,0.301904,3.304387,linear,150,50,rastrigin,3,0.000002,2.549597,2.487396,2.199609,4.047220
3,0.301904,0.627664,linear,150,50,rastrigin,3,0.995163,4.409756,5.211793,3.053402,3.465140
3,0.687934,1.579374,linear,150,50,rastrigin,3,0.000000,1.554622,1.989916,1.451241,3.211620
3,0.559922,0.907884,linear,150,50,rastrigin,3,0.995668,4.215652,4.976429,2.735551,3.570510
3,0.687934,0.907884,linear,150,50,rastrigin,3,0.000004,2.620850,2.984897,2.381844,1.154230
3,0.559922,0.300000,linear,150,50,rastrigin,3,0.271235,4.195135,5.391536,3.611981,3.399600
3,0.370927,1.313208,linear,150,50,rastrigin,3,0.037338,2.441786,2.545508,2.099590,3.727325
3,0.301904,1.091897,linear,150,50,rastrigin,3,0.041649,3.486562,5.005545,3.173860,1.805890
3,0.370927,6.913484,linear,150,50,rastrigin,3,0.000000,0.746218,0.994957,0.703541,1.927120
3,0.455730,4.779626,linear,150,50,rastrigin,3,0.000000,0.621848,0.994957,1.307716,1.766645
3,0.687934,4.779626,linear,150,50,rastrigin,3,0.000000,0.248739,0.000000,0.736202,1.856455
3,0.370927,0.433935,linear,150,50,rastrigin,3,0.061899,4.394031,5.025017,3.629566,2.066865
3,0.845213,0.627664,linear,150,50,rastrigin,3,0.995655,2.445885,2.011683,2.990610,1.712995
3,0.455730,0.300000,linear,150,50,rastrigin,3,1.033138,5.265965,5.938719,3.983923,1.898515
3,0.845213,0.360805,linear,150,50,rastrigin,3,0.994974,3.104186,4.974870,2.213596,1.913985
3,0.559922,1.579374,linear,150,50,rastrigin,3,0.000000,2.487464,1.990252,2.545868,2.113245
3,0.301904,10.000000,linear,150,50,rastrigin,3,0.000000,0.186554,0.000000,0.580155,2.177955
3,0.687934,0.627664,linear,150,50,rastrigin,3,1.004194,3.116246,3.548293,2.553841,1.094175
3,0.559922,2.747511,linear,150,50,rastrigin,3,0.000000,0.994957,0.994957,1.690696,2.096505
3,0.370927,2.284483,linear,150,50,rastrigin,3,0.000000,1.492623,1.989920,1.315260,2.303570
3,0.559922,4.779626,linear,150,50,rastrigin,3,0.000000,0.870588,0.994959,1.024372,2.428395
3,0.845213,3.304387,linear,150,50,rastrigin,3,0.000000,0.497478,0.994957,0.694692,0.742860
3,0.845213,1.899487,linear,150,50,rastrigin,3,0.000000,0.994958,0.994958,1.107938,0.800400
3,0.845213,1.091897,linear,150,50,rastrigin,3,0.000000,2.238656,1.989920,2.266671,2.543095
3,0.455730,2.747511,linear,150,50,rastrigin,3,0.000000,1.616807,1.989916,1.754627,1.132615
3,0.455730,0.907884,linear,150,50,rastrigin,3,0.038109,2.888855,4.039120,2.396151,2.668990
3,0.687934,0.360805,linear,150,50,rastrigin,3,0.022488,4.400842,5.658888,3.278652,1.908700
3,1.038450,1.313208,linear,150,50,rastrigin,3,0.000000,1.430252,1.492438,2.274841,0.773730
3,0.455730,0.521886,linear,150,50,rastrigin,3,1.003502,3.759946,4.720232,2.987955,3.024575
3,0.687934,1.091897,linear,150,50,rastrigin,3,0.000080,2.860710,3.482690,2.548255,0.873250
3,0.559922,1.091897,linear,150,50,rastrigin,3,0.994957,4.056962,4.487423,3.219648,0.893735
