n_leaders,a_factor,c_factor,convergence,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
3,0.500000,0.500000,linear,150,50,rosenbrock,3,0.084641,2.364392,2.122216,43.915154,0.614725
3,0.500000,2.066557,linear,150,50,rosenbrock,3,0.000303,1.132069,1.023553,3.257509,0.609700
3,2.419483,0.585390,linear,150,50,rosenbrock,3,0.047647,0.756727,0.486793,2.878344,0.623330
3,0.585390,0.585390,linear,150,50,rosenbrock,3,0.000384,0.713399,0.993716,2.601327,0.583695
3,1.099883,1.765111,linear,150,50,rosenbrock,3,0.000000,0.302280,0.279453,1.157090,0.692755
3,0.685363,1.099883,linear,150,50,rosenbrock,3,0.053346,1.453148,1.432338,2.609256,0.628665
3,0.585390,0.939444,linear,150,50,rosenbrock,3,0.002915,0.828608,0.731330,2.627560,0.760085
3,0.500000,8.541316,linear,150,50,rosenbrock,3,0.041861,0.189505,0.198229,0.895169,0.791930
3,0.500000,5.322296,linear,150,50,rosenbrock,3,0.013873,0.301834,0.336074,2.667008,0.842710
3,0.585390,1.507637,linear,150,50,rosenbrock,3,0.000441,1.536049,1.121843,3.511578,0.795295
3,0.585390,2.419483,linear,150,50,rosenbrock,3,0.002718,0.882488,0.827342,3.515610,0.775815
3,0.802409,0.802409,linear,150,50,rosenbrock,3,0.014754,1.534294,1.180033,3.620358,0.931940
3,0.585390,6.231237,linear,150,50,rosenbrock,3,0.043150,0.315448,0.290459,1.316020,0.815640
3,0.585390,10.000000,linear,150,50,rosenbrock,3,0.014035,0.181722,0.233059,1.974592,0.802430
3,0.500000,2.419483,linear,150,50,rosenbrock,3,0.000808,1.626110,1.231103,2.880117,0.626930
3,0.585390,3.882831,linear,150,50,rosenbrock,3,0.000286,0.339990,0.293888,2.718496,1.167150
3,0.500000,0.585390,linear,150,50,rosenbrock,3,0.000378,2.710486,3.802390,26.728132,0.699980
3,0.585390,0.685363,linear,150,50,rosenbrock,3,0.000123,1.667467,1.906682,3.355739,0.654005
3,0.685363,0.685363,linear,150,50,rosenbrock,3,0.006859,1.439912,1.394960,2.841654,1.304925
3,0.802409,3.316448,linear,150,50,rosenbrock,3,0.000005,0.194401,0.300777,1.795278,0.647860
3,0.802409,0.939444,linear,150,50,rosenbrock,3,0.038689,1.732883,1.707326,2.879978,0.619475
3,0.802409,2.066557,linear,150,50,rosenbrock,3,0.000090,0.413239,0.588336,2.820818,0.779530
3,0.802409,1.287720,linear,150,50,rosenbrock,3,0.009978,0.904056,0.990416,2.062846,0.824185
3,0.939444,6.231237,linear,150,50,rosenbrock,3,0.003972,0.368594,0.293624,1.683482,0.639010
3,0.685363,2.832683,linear,150,50,rosenbrock,3,0.005766,0.613620,0.559330,2.167131,1.363970
3,1.099883,1.099883,linear,150,50,rosenbrock,3,0.004994,1.472226,0.733553,3.115068,0.615225
3,0.939444,0.585390,linear,150,50,rosenbrock,3,0.007132,2.344893,1.591166,144.182709,0.806905
3,0.939444,2.419483,linear,150,50,rosenbrock,3,0.006980,0.656776,0.527444,1.917484,0.789110
3,0.939444,3.882831,linear,150,50,rosenbrock,3,0.008010,0.455018,0.306570,2.210618,0.792920
3,1.099883,4.545940,linear,150,50,rosenbrock,3,0.000164,0.169725,0.228444,1.339697,0.631520
3,0.939444,0.939444,linear,150,50,rosenbrock,3,0.055019,1.313576,1.340917,2.612849,0.841535
3,1.287720,0.500000,linear,150,50,rosenbrock,3,0.019217,0.694277,0.844687,2.518459,0.619000
3,0.939444,10.000000,linear,150,50,rosenbrock,3,0.005839,0.207834,0.231761,1.808585,0.820890
3,0.939444,1.507637,linear,150,50,rosenbrock,3,0.006226,1.826268,2.718519,3.016658,0.839565
3,1.099883,0.685363,linear,150,50,rosenbrock,3,0.001209,1.353859,1.683924,2.558692,0.821445
3,1.099883,7.295407,linear,150,50,rosenbrock,3,0.004184,0.124157,0.148649,1.651990,0.737060
3,2.419483,0.685363,linear,150,50,rosenbrock,3,0.000754,1.175000,0.798023,3.648616,1.417255
