inertia,acc_coef_1,acc_coef_2,swarm_size,num_iters,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
0.4,0.15,3.0,150,50,rastrigin,3,0.0,4.20713e-05,0.0,0.424869,0.600013
0.4,0.2,3.0,150,50,rastrigin,3,0.0,0.0724195,0.0,0.467728,0.71611
0.4,0.55,3.0,150,50,rastrigin,3,0.0,1.42241e-05,0.0,0.276793,0.783813
0.4,0.85,3.0,150,50,rastrigin,3,0.0,3.9978e-05,9.53674e-06,0.134841,0.856239
0.4,1.05,3.0,150,50,rastrigin,3,0.0,0.00024755,9.15527e-05,0.179016,0.840615
0.4,1.35,3.0,150,50,rastrigin,3,0.0,0.00470602,0.00204945,0.262409,0.972903
0.4,0.3,2.95,150,50,rastrigin,3,0.0,1.49107e-05,0.0,0.389161,0.831538
0.4,0.35,2.95,150,50,rastrigin,3,0.0,2.93732e-05,0.0,0.400562,0.817774
0.4,0.65,2.95,150,50,rastrigin,3,0.0,1.1344e-05,1.90735e-06,0.269985,0.714787
0.4,1.2,2.95,150,50,rastrigin,3,0.0,0.000658751,0.000231743,0.231883,0.933857
0.4,1.55,2.95,150,50,rastrigin,3,3.8147e-06,0.0321954,0.0122032,0.354244,1.03329
0.4,1.7,2.9,150,50,rastrigin,3,0.0,0.0709365,0.0269842,0.45132,0.979612
0.4,0.3,2.85,150,50,rastrigin,3,0.0,0.134448,0.0,0.541032,0.826531
0.4,0.45,2.85,150,50,rastrigin,3,0.0,0.0274446,0.0,0.454072,0.807703
0.4,0.5,2.85,150,50,rastrigin,3,0.0,1.10149e-05,0.0,0.38904,0.859068
0.4,0.55,2.85,150,50,rastrigin,3,0.0,7.05719e-07,0.0,0.311405,0.844286
0.4,0.6,2.85,150,50,rastrigin,3,0.0,1.23978e-06,0.0,0.284559,0.829712
0.4,0.95,2.85,150,50,rastrigin,3,0.0,1.85204e-05,3.8147e-06,0.15258,0.914203
0.4,0.5,2.8,150,50,rastrigin,3,0.0,0.000172567,0.0,0.421541,0.816937
0.4,0.55,2.8,150,50,rastrigin,3,0.0,3.77655e-06,0.0,0.364992,0.821685
0.4,0.6,2.8,150,50,rastrigin,3,0.0,8.86917e-07,0.0,0.329313,0.866679
0.4,0.5,2.75,150,50,rastrigin,3,0.0,2.05517e-06,0.0,0.382385,0.821011
0.4,0.6,2.75,150,50,rastrigin,3,0.0,1.26839e-06,0.0,0.351882,0.798856
0.4,0.65,2.75,150,50,rastrigin,3,0.0,6.78539e-06,0.0,0.382204,0.709106
0.4,0.7,2.75,150,50,rastrigin,3,0.0,1.03474e-06,0.0,0.296982,0.703644
0.4,0.8,2.75,150,50,rastrigin,3,0.0,3.2711e-06,0.0,0.285909,0.715844
0.4,1.85,2.75,150,50,rastrigin,3,0.0,0.0784774,0.0128441,0.449511,0.894316
0.4,1.95,2.75,150,50,rastrigin,3,5.72205e-06,0.149447,0.0459757,0.481929,0.938784
0.4,0.7,2.7,150,50,rastrigin,3,0.0,6.05583e-07,0.0,0.335986,0.709838
0.4,1.55,2.7,150,50,rastrigin,3,0.0,0.00112678,0.000255585,0.221447,1.09255
0.4,1.75,2.7,150,50,rastrigin,3,0.0,0.00895736,0.00299072,0.299932,0.908133
0.4,0.65,2.65,150,50,rastrigin,3,0.0,8.25071e-05,0.0,0.435215,0.681832
0.4,0.75,2.65,150,50,rastrigin,3,0.0,2.45094e-06,0.0,0.334749,0.725362
0.4,0.8,2.65,150,50,rastrigin,3,0.0,1.77383e-06,0.0,0.30804,0.728655
0.4,1.15,2.65,150,50,rastrigin,3,0.0,1.15347e-05,1.90735e-06,0.189728,0.860492
0.4,1.0,2.6,150,50,rastrigin,3,0.0,1.95503e-06,0.0,0.214558,0.883955
0.4,1.1,2.6,150,50,rastrigin,3,0.0,2.58923e-06,0.0,0.182166,0.872111
0.4,1.3,2.6,150,50,rastrigin,3,0.0,1.66988e-05,3.8147e-06,0.16833,0.882953
0.4,2.05,2.6,150,50,rastrigin,3,0.0,0.0880916,0.0244503,0.454815,0.927317
0.4,0.6,2.55,150,50,rastrigin,3,0.0,0.104533,0.0,0.489427,0.781813
0.4,1.3,2.55,150,50,rastrigin,3,0.0,1.09339e-05,0.0,0.177561,0.854496
0.4,1.4,2.55,150,50,rastrigin,3,0.0,2.74849e-05,3.8147e-06,0.16622,0.967191
0.4,1.5,2.55,150,50,rastrigin,3,0.0,4.94003e-05,1.14441e-05,0.150055,0.940375
0.4,1.6,2.55,150,50,rastrigin,3,0.0,0.000199499,4.673e-05,0.213507,0.888791
0.4,0.8,2.5,150,50,rastrigin,3,0.0,5.76496e-06,0.0,0.362677,0.695769
0.4,2.15,2.5,150,50,rastrigin,3,0.0,0.100332,0.0255404,0.474358,1.09405
0.4,0.75,2.45,150,50,rastrigin,3,0.0,8.67367e-06,0.0,0.392423,0.714481
0.4,0.8,2.45,150,50,rastrigin,3,0.0,2.03133e-06,0.0,0.407104,0.688249
0.4,0.9,2.45,150,50,rastrigin,3,0.0,2.13623e-06,0.0,0.333728,0.800936
0.4,0.8,2.4,150,50,rastrigin,3,0.0,7.86161e-05,0.0,0.413949,0.735196
0.4,0.85,2.4,150,50,rastrigin,3,0.0,1.38283e-07,0.0,0.352972,0.813326
0.4,1.7,2.4,150,50,rastrigin,3,0.0,0.00010016,1.90735e-05,0.185971,0.850276
0.4,1.85,2.4,150,50,rastrigin,3,0.0,0.000347309,7.72476e-05,0.241151,0.841261
0.4,1.95,2.35,150,50,rastrigin,3,0.0,0.000684013,9.63211e-05,0.243944,0.961336
0.4,0.85,2.3,150,50,rastrigin,3,0.0,0.0176208,0.0,0.449496,0.786059
0.4,0.85,2.25,150,50,rastrigin,3,0.0,0.00267626,0.0,0.430259,0.786671
0.4,1.7,2.25,150,50,rastrigin,3,0.0,1.16301e-05,0.0,0.180681,0.833759
0.4,1.65,2.2,150,50,rastrigin,3,0.0,3.56197e-06,0.0,0.199707,0.840971
0.4,1.9,2.2,150,50,rastrigin,3,0.0,3.39746e-05,3.8147e-06,0.177175,0.881753
